codigo_cnj,nome
7,PROCEDIMENTO ORDINÁRIO
37,EMBARGOS DE TERCEIRO CÍVEL
46,RESTAURAÇÃO DE AUTOS
47,AÇÃO RESCISÓRIA
60,SEPARAÇÃO CONSENSUAL
95,AÇÃO DIRETA DE INCONSTITUCIONALIDADE
110,HABEAS DATA
118,MANDADO DE INJUNÇÃO
119,MANDADO DE SEGURANÇA COLETIVO
120,MANDADO DE SEGURANÇA CÍVEL
144,SUSPENSÃO DE LIMINAR OU ANTECIPAÇÃO DE TUTELA
156,CUMPRIMENTO DE SENTENÇA
158,PROCESSO DE EXECUÇÃO
169,EMBARGOS
172,EMBARGOS À EXECUÇÃO
178,ARRESTO
183,CAUTELAR INOMINADA
198,APELAÇÃO CÍVEL
199,REMESSA NECESSÁRIA CÍVEL
202,AGRAVO DE INSTRUMENTO
204,AGRAVO DE INSTRUMENTO EM RECURSO EXTRAORDINÁRIO
206,AGRAVO REGIMENTAL CÍVEL
208,EMBARGOS INFRINGENTES
212,RECURSO EXTRAORDINÁRIO
213,RECURSO ESPECIAL
216,INCIDENTE DE ARGÜIÇÃO DE INCONSTITUCIONALIDADE CÍV
218,ASSISTÊNCIA JUDICIÁRIA
221,CONFLITO DE COMPETÊNCIA CÍVEL
230,IMPUGNAÇÃO AO PEDIDO DE ASSISTÊNCIA LITISCONSORCIA
231,IMPUGNAÇÃO AO VALOR DA CAUSA CÍVEL
233,INCIDENTE DE UNIFORMIZAÇÃO DE JURISPRUDÊNCIA
241,PETIÇÃO CÍVEL
272,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME
278,TERMO CIRCUNSTANCIADO
279,INQUÉRITO POLICIAL
283,AÇÃO PENAL - PROCEDIMENTO ORDINÁRIO
307,HABEAS CORPUS CRIMINAL
318,EXCEÇÃO DE SUSPEIÇÃO
325,CONFLITO DE JURISDIÇÃO
326,RESTITUIÇÃO DE COISAS APREENDIDAS
332,INCIDENTE DE FALSIDADE
413,AGRAVO DE EXECUÇÃO PENAL
417,APELAÇÃO CRIMINAL
418,CARTA TESTEMUNHÁVEL
420,EMBARGOS DE DECLARAÇÃO CRIMINAL
421,EMBARGOS INFRINGENTES E DE NULIDADE
426,RECURSO EM SENTIDO ESTRITO
427,REMESSA NECESSÁRIA CRIMINAL
432,DESAFORAMENTO DE JULGAMENTO
457,PEDIDO DE UNIFORMIZAÇÃO DE INTERPRETAÇÃO DE LEI CÍVEL
460,RECURSO INOMINADO CÍVEL
988,DISSÍDIO COLETIVO DE GREVE
1111,EXECUÇÃO DE TÍTULO JUDICIAL
1114,EXECUÇÃO CONTRA A FAZENDA PÚBLICA
1178,INCIDENTE DE ARGUIÇÃO DE INCONSTITUCIONALIDADE CRI
1208,AGRAVO INTERNO CÍVEL
1230,EXCEÇÃO DE IMPEDIMENTO
1232,EXCEÇÃO DE INCOMPETÊNCIA
1262,PROCESSO ADMINISTRATIVO DISCIPLINAR EM FACE DE SERVIDOR
1264,PROCESSO ADMINISTRATIVO DISCIPLINAR EM FACE DE MAGISTRADO
1269,HABEAS CORPUS CÍVEL
1271,RECURSO DE MEDIDA CAUTELAR
1298,PROCESSO ADMINISTRATIVO
1299,RECURSO ADMINISTRATIVO
1344,RECURSO EM HABEAS CORPUS
1689,EMBARGOS DE DECLARAÇÃO CÍVEL
1702,IMPUGNAÇÃO DE ASSISTÊNCIA JUDICIÁRIA
1710,MANDADO DE SEGURANÇA CRIMINAL
1711,AGRAVO DE INSTRUMENTO EM RECURSO ESPECIAL
1712,AGRAVO EM RECURSO EXTRAORDINÁRIO
1714,EXECUÇÃO PROVISÓRIA
1727,PETIÇÃO CRIMINAL
1728,APELAÇÃO / REMESSA NECESSÁRIA
1729,AGRAVO INTERNO CRIMINAL
1730,RECURSO ORDINÁRIO CRIMINAL
1733,PROCEDIMENTO INVESTIGATÓRIO CRIMINAL (PIC-MP)
10942,CORREIÇÃO PARCIAL CÍVEL
10980,CUMPRIMENTO PROVISÓRIO DE DECISÃO
11035,REPRESENTAÇÃO P/ DECLARAÇÃO DE INDIGNIDADE/INCOMPATIBILIDADE
11036,REPRESENTAÇÃO P/ PERDA DA GRADUAÇÃO
11955,CAUTELAR INOMINADA CRIMINAL
12080,INCIDENTE DE IMPEDIMENTO CÍVEL
12081,INCIDENTE DE SUSPEIÇÃO CÍVEL
12085,INCIDENTE DE RESOLUÇÃO DE DEMANDAS REPETITIVAS
12087,INCIDENTE DE ASSUNÇÃO DE COMPETÊNCIA
12122,RECLAMAÇÃO CRIMINAL
12134,TUTELA CAUTELAR ANTECEDENTE
12135,TUTELA ANTECIPADA ANTECEDENTE
12357,PEDIDO DE EFEITO SUSPENSIVO À APELAÇÃO
12375,RECLAMAÇÃO
12394,REVISÃO CRIMINAL
12423,MEDIDAS PROTETIVAS DE URGÊNCIA (LEI MARIA DA PENHA) INFRACIONAL
